ID,NOM,Population totale
97201,L' Ajoupa-Bouillon,1964
97202,Les Anses-d'Arlet,3686
97203,Basse-Pointe,3238
97234,Bellefontaine,1760
97204,Le Carbet,3655
97205,Case-Pilote,4522
97206,Le Diamant,5886
97207,Ducos,17713
97208,Fonds-Saint-Denis,774
97209,Fort-de-France,82030
97210,Le François,17524
97211,Grand'Rivière,712
97212,Gros-Morne,9995
97213,Le Lamentin,40920
97214,Le Lorrain,7006
97215,Macouba,1095
97216,Le Marigot,3285
97217,Le Marin,9262
97218,Le Morne-Rouge,5166
97233,Le Morne-Vert,1870
97219,Le Prêcheur,1382
97220,Rivière-Pilote,12278
97221,Rivière-Salée,12313
97222,Le Robert,23475
97223,Saint-Esprit,9511
97224,Saint-Joseph,16579
97225,Saint-Pierre,4176
97226,Sainte-Anne,4280
97227,Sainte-Luce,10283
97228,Sainte-Marie,16375
97229,Schœlcher,20159
97230,La Trinité,12701
97231,Les Trois-Îlets,7621
97232,Le Vauclin,9098
